MATCH ID,MATCH NO,DATE,TIME,HOME TEAM,AWAY TEAM,MATCH,VENUE,URL
1304072,26th,16-04-2022,3:30 PM,Mumbai Indians,Lucknow Super Giants,"Mumbai Indians vs Lucknow Super Giants, 03:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-lucknow-super-giants-26th-match-1304072/live-cricket-score
1304073,27th,16-04-2022,7:30 PM,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals vs Royal Challengers Bangalore, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-royal-challengers-bangalore-27th-match-1304073/live-cricket-score
1304074,28th,17-04-2022,3:30 PM,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings vs Sunrisers Hyderabad, 03:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-sunrisers-hyderabad-28th-match-1304074/live-cricket-score
1304075,29th,17-04-2022,7:30 PM,Gujarat Titans,Chennai Super Kings,"Gujarat Titans vs Chennai Super Kings, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-chennai-super-kings-29th-match-1304075/live-cricket-score
1304076,30th,18-04-2022,7:30 PM,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals vs Kolkata Knight Riders, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-kolkata-knight-riders-30th-match-1304076/live-cricket-score
1304077,31st,19-04-2022,7:30 PM,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants vs Royal Challengers Bangalore, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-royal-challengers-bangalore-31st-match-1304077/live-cricket-score
1304078,32nd,20-04-2022,7:30 PM,Delhi Capitals,Punjab Kings,"Delhi Capitals vs Punjab Kings, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-punjab-kings-32nd-match-1304078/live-cricket-score
1304079,33rd,21-04-2022,7:30 PM,Mumbai Indians,Chennai Super Kings,"Mumbai Indians vs Chennai Super Kings, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-chennai-super-kings-33rd-match-1304079/live-cricket-score
1304080,34th,22-04-2022,7:30 PM,Delhi Capitals,Rajasthan Royals,"Delhi Capitals vs Rajasthan Royals, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-rajasthan-royals-34th-match-1304080/live-cricket-score
1304081,35th,23-04-2022,3:30 PM,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders vs Gujarat Titans, 03:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-gujarat-titans-35th-match-1304081/live-cricket-score
1304082,36th,23-04-2022,7:30 PM,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore vs Sunrisers Hyderabad, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-sunrisers-hyderabad-36th-match-1304082/live-cricket-score
1304083,37th,24-04-2022,7:30 PM,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants vs Mumbai Indians, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-mumbai-indians-37th-match-1304083/live-cricket-score
